Company,JobComplete,IssuedComplete,JobNum,AssemblySeq,MtlSeq,PartNum,Description,QtyPer,RequiredQty,IUM,LeadTime,RelatedOperation,MtlBurRate,EstMtlBurUnitCost,EstUnitCost,IssuedQty,TotalCost,MtlBurCost,ReqDate,WarehouseCode,SalvagePartNum,SalvageDescription,SalvageQtyPer,SalvageUM,SalvageMtlBurRate,SalvageUnitCredit,SalvageEstMtlBurUnitCredit,SalvageQtyToDate,SalvageCredit,SalvageMtlBurCredit,MfgComment,VendorNum,PurPoint,BuyIt,Ordered,PurComment,BackFlush,EstScrap,EstScrapType,FixedQty,FindNum,RevisionNum,SndAlrtCmpl,RcvInspectionReq,Plant,Direct,MaterialMtlCost,MaterialLabCost,MaterialSubCost,MaterialBurCost,SalvageMtlCredit,SalvageLbrCredit,SalvageBurCredit,SalvageSubCredit,APSAddResType,CallNum,CallLine,ProdCode,UnitPrice,BillableUnitPrice,DocBillableUnitPrice,ResReasonCode,PricePerCode,Billable,ShippedQty,DocUnitPrice,QtyStagedToDate,AddedMtl,MiscCharge,MiscCode,SCMiscCode,RFQNeeded,RFQVendQuotes,RFQNum,RFQLine,RFQStat,AnalysisCode,GlbRFQ,WhseAllocFlag,WIReqDate,Rpt1BillableUnitPrice,Rpt2BillableUnitPrice,Rpt3BillableUnitPrice,Rpt1UnitPrice,Rpt2UnitPrice,Rpt3UnitPrice,BaseRequiredQty,BaseUOM,Weight,WeightUOM,ReqRefDes,BasePartNum,BaseRevisionNum,SelectForPicking,StagingWarehouseCode,StagingBinNum,PickError,EstMtlUnitCost,EstLbrUnitCost,EstBurUnitCost,EstSubUnitCost,SalvageEstMtlUnitCredit,SalvageEstLbrUnitCredit,SalvageEstBurUnitCredit,SalvageEstSubUnitCredit,LoanedQty,BorrowedQty,ReassignSNAsm,GeneralPlanInfo,EstStdDescription,PricingUOM,RemovedFromPlan,IsPOCostingMaintained,EstStdType,POCostingFactor,PlannedQtyPerUnit,POCostingDirection,POCostingUnitVal,GroupSeq,SysRowID,OrigStructTag,OrigGroupSeq,ShowStatusIcon,ContractID,LinkToContract,StagingLotNum,PCLinkRemoved
HEM,0,1,83128,0,10,AMS4117_1.0000RD,AMS 4117 1.0000 RD (6061-T651),0.15789,78.945,FT,0,5,0,0,3.27878,80.9797,265.52,0,2018-05-29,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,K,0,0,MfgSys,0,265.52,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,80.9797,0,0,,,0,0,0,0,,,0,0,2018-05-29,0,0,0,0,0,0,78.945,FT,0,LBS,0,,,0,,,,3.27878,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,EB2CACBC-CA65-41C1-868E-0636E4F6B7CD,,0,,,0,,0
HEM,0,0,83130,0,10,ASTM_B441_C17510_HT_0.4900GD,ASTM B441 C17510 (TH04) HT TEMPER .490 GD (BE-CU),0.14286,57.144,FT,0,20,0,0,18.06537,0,0,0,2018-07-11,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,16,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-07-11,0,0,0,0,0,0,57.144,FT,0,LBS,0,,,0,,,,15.7285,0.967,1.36987,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,DFCC2BA6-E876-4689-8C4A-2D1D47E1DA35,,0,,,0,,0
HEM,0,0,83132,0,10,AMS5894_0.1300GD,AMS 5894 0.1300 GD (STELLITE),0.08451,16.902,FT,0,200,0,0,78.53205,0,0,0,2018-06-11,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,D,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,16.902,FT,0,LBS,0,,,0,,,,76.03205,0,0,2.5,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,09951420-6538-4411-A5A0-76FFF885A99E,,0,,,0,,0
HEM,0,0,83134,0,10,753660-10,Retainer,1,250,EA,0,10,0,0,12.52255,0,0,0,2018-07-27,FGI,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,N/C,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-07-27,0,0,0,0,0,0,250,EA,0,LBS,0,,,0,,,,0.68847,4.69902,6.48506,0.65,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,6FB91357-591F-4298-AB9F-CF161CB1502A,,0,,,0,,0
HEM,0,0,83134,0,20,MS21209C0815,"Helicoil, 3585-2cn-0246",2,500,EA,0,10,0,0,0.16,0,0,0,2018-07-27,FGI,,,0,,0,0,0,0,0,0,"Vendor Supplied Material No Bom Required
",0,,0,0,,0,0,%,0,,,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-07-27,0,0,0,0,0,0,500,EA,0,LBS,0,,,0,,,,0,0,0,0.16,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,188C1215-C94E-46B4-9B94-DB9BB182EFFB,,0,,,0,,0
HEM,0,0,83135,0,10,AMS5643_H1075_0.6250RD_HS461,AMS 5643 H1075 0.6250 RD (17-4PH),0.08759,3.5036,FT,0,400,0,0,5.57989,0,0,0,2018-06-11,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,T,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,3.5036,FT,0,LBS,0,,,0,,,,5.57989,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,B5439823-46CC-4855-8814-436A1E39C548,,0,,,0,,0
HEM,0,0,83136,0,10,AMS5732_1.7500RD,AMS5732 1.7500 RD (A286),0.07317,2.561,FT,0,10,0,0,82.01145,0,0,0,2018-06-18,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,J,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-18,0,0,0,0,0,0,2.561,FT,0,LBS,0,,,0,,,,82.01145,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,405131DC-8A3C-4CB5-87C6-B737D030068A,,0,,,0,,0
HEM,0,1,83137,0,10,AMS5640_1.7500RD,AMS 5640 1.7500 RD (303),0.1791,22.3875,FT,0,100,0,0,17.1737,23,395,0,2018-06-05,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,V,0,0,MfgSys,0,395,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,23,0,0,,,0,0,0,0,,,0,0,2018-06-05,0,0,0,0,0,0,22.3875,FT,0,LBS,0,,,0,,,,17.1737,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,5157B678-467C-4E6E-9578-7A5A1472342B,,0,,,0,,0
HEM,0,1,83138,0,10,AMS5737_0.4900GD,AMS 5737 0.4900 GD (A286),0.32432,16.8647,FT,0,5,0,0,9.85965,21.75,214.45,0,2018-05-21,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,P,0,0,MfgSys,0,152.47,25.71,0,36.27,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,21.75,0,0,,,0,0,0,0,,,0,0,2018-05-21,0,0,0,0,0,0,16.8647,FT,0,LBS,0,,,0,,,,7.01,1.18189,1.66776,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,BB1B2D6F-870D-49A1-AB30-726383FA2385,,0,,,0,,0
HEM,0,1,83139,0,10,ASTM_A108_1018_0.2500RD,ASTM A108 1018 0.2500 RD (CARBON STEEL),1,388,FT,0,10,0,0,0.15833,388.3114,61.48,0,2018-06-05,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,13,0,0,MfgSys,0,61.48,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,388.3114,0,0,,,0,0,0,0,,,0,0,2018-06-05,0,0,0,0,0,0,388,FT,0,,1,,,0,,,,0.15833,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,5092BBD3-8F9F-42F7-8B5F-24DD25389E74,,0,,,0,,0
